"x","y","region","water","Ash","Atlantic white cedar","Basswood","Beech","Birch","Cherry","Chestnut","Dogwood","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
949000,590000,"michigan_south",0,0.2425312,NA,0.1169556,0.147248,0.0010844,0.0023828,NA,0.0008048,0.1251584,5.68e-05,0.0003612,0.0221044,0.0184308,0.0678732,0.2066668,0.000258,0.0002172,0.002076,0.0080104,0.0189388,0.000438,0.0012532,0.01715
957000,590000,"michigan_south",0,0.2104412,NA,0.0880788,0.0209424,0.000948,0.0057352,NA,0.0007908,0.1518268,5.92e-05,0.0002884,0.0163156,0.0117664,0.0485532,0.3582828,0.0003464,0.0001952,0.0012288,0.0142368,0.0354416,0.0005476,0.0009664,0.0330084
965000,590000,"michigan_south",0,0.019792,NA,0.0063908,0.0018548,5e-05,0.000222,NA,6.76e-05,0.0182056,1.2e-06,1.32e-05,0.0043432,0.0007732,0.0047292,0.9354744,1.76e-05,7.2e-06,7.72e-05,0.000736,0.0021508,2.76e-05,3.84e-05,0.005028
973000,590000,"michigan_south",0,0.0420032,NA,0.0100628,0.0032296,0.00013,0.0003772,NA,0.0001112,0.040014,3.6e-06,2.52e-05,0.025462,0.00177,0.0077272,0.8320528,2.52e-05,3.2e-05,0.0002044,0.0015216,0.0032252,6.28e-05,8.96e-05,0.0318704
981000,590000,"michigan_south",0,0.0677608,NA,0.0152608,0.0086848,0.0002884,0.0008764,NA,0.0003888,0.050026,4.4e-06,7.6e-05,0.0933112,0.0029748,0.0147052,0.7194552,6e-05,4.68e-05,0.0003136,0.0022776,0.004618,0.0001992,0.0002224,0.0184496
989000,590000,"michigan_south",28,0.1068668,NA,0.0312756,0.0236364,0.0005612,0.0030168,NA,0.0006744,0.067924,3.12e-05,0.0001576,0.068736,0.0072232,0.0363628,0.6128152,5.88e-05,0.0001036,0.0007404,0.003712,0.0092896,0.0003348,4e-04,0.0260796
725000,598000,"michigan_south",1,0.0684892,NA,0.0553576,0.5120984,0.0052148,0.006438,NA,0.0004444,0.0413764,4.48e-05,0.0138572,0.0083704,0.0176604,0.1105196,0.0484436,0.0468192,0.0005428,0.0070428,0.005484,0.0153788,0.001538,0.001954,0.0329256
733000,598000,"michigan_south",0,0.0620112,NA,0.054518,0.2727424,0.0028508,0.003632,NA,0.0003396,0.04675,2.6e-05,0.0028216,0.0080616,0.0107224,0.0658892,0.3590888,0.0052236,0.0004604,0.0262088,0.00371,0.0194464,0.0015288,0.0010664,0.052902
741000,598000,"michigan_south",0,0.0598284,NA,0.050606,0.4265876,0.0027344,0.0030576,NA,0.0004072,0.0404972,1.96e-05,0.001416,0.012904,0.01137,0.1305604,0.1910748,0.002078,0.0003196,0.0228204,0.0031156,0.0092128,0.0026168,0.0008296,0.027944
749000,598000,"michigan_south",0,0.0595176,NA,0.0377808,0.2192356,0.002744,0.0030736,NA,0.0004056,0.0563628,2.88e-05,0.00071,0.0170748,0.008228,0.1057628,0.4420736,0.0011768,0.0002484,0.0078576,0.0029564,0.0055872,0.0040008,0.0004016,0.0247732
757000,598000,"michigan_south",0,0.0650776,NA,0.016084,0.1003788,0.002754,0.003928,NA,0.0002408,0.0274812,2.96e-05,0.0004284,0.0516368,0.0073052,0.0527548,0.6291736,0.0010144,0.0001384,0.0046216,0.0021788,0.0066224,0.00645,0.0002168,0.0214848
765000,598000,"michigan_south",0,0.0324028,NA,0.0114996,0.0635968,0.0026968,0.0135532,NA,0.0002312,0.022262,1.24e-05,0.0002748,0.0823112,0.004622,0.0551376,0.6413676,0.0010328,7.2e-05,0.0052072,0.0028652,0.0022724,0.0017288,0.0001392,0.0567144
773000,598000,"michigan_south",0,0.053666,NA,0.0141396,0.273042,0.0038152,0.0064888,NA,0.00047,0.0366192,1.76e-05,0.000362,0.0782936,0.0072948,0.0560896,0.3757876,0.0013748,0.000138,0.0342536,0.0187868,0.0029032,0.0019344,0.000212,0.0343112
781000,598000,"michigan_south",0,0.0377084,NA,0.0105836,0.221022,0.0032476,0.003396,NA,0.0004016,0.0292776,1.08e-05,0.0002572,0.0320112,0.007172,0.0616668,0.545108,0.0005916,0.0001036,0.0264256,0.0051276,0.0026036,0.0011776,0.0001028,0.0120048
789000,598000,"michigan_south",0,0.0308028,NA,0.0127348,0.1074808,0.0014652,0.0022096,NA,0.0002424,0.0132164,6.4e-06,0.0001388,0.0505956,0.0101072,0.013504,0.7306252,0.0002996,5.36e-05,0.0059564,0.0027284,0.0027168,0.000924,8.04e-05,0.0141116
797000,598000,"michigan_south",0,0.0365156,NA,0.0076564,0.0357036,0.0011872,0.002056,NA,0.0002236,0.0147228,2.8e-06,0.0001036,0.0858488,0.0069048,0.0071384,0.748348,0.000176,3.44e-05,0.0049312,0.0017112,0.0110596,0.000906,4.84e-05,0.0347216
